feature,coefficient,abs_coefficient
OLCI_2 OLCI_13,-0.0010592635,0.0010592635
OLCI_4 OLCI_8,-0.0010218055,0.0010218055
OLCI_9 OLCI_17,0.0010188265,0.0010188265
OLCI_13 OLCI_19,0.0010077078,0.0010077078
OLCI_7 OLCI_9,-0.0009770126,0.0009770126
OLCI_9 OLCI_14,0.0009577051,0.0009577051
OLCI_14,-0.00086203497,0.00086203497
OLCI_13 OLCI_15,0.0008526172,0.0008526172
OLCI_7 OLCI_17,-0.00081662333,0.00081662333
OLCI_4 OLCI_17,-0.00075979624,0.00075979624
OLCI_5 OLCI_18,0.0006977826,0.0006977826
OLCI_1 OLCI_13,0.0006744021,0.0006744021
OLCI_17 OLCI_20,-0.00060793955,0.00060793955
OLCI_3 OLCI_7,0.00057996495,0.00057996495
OLCI_9^2,-0.0005662197,0.0005662197
OLCI_15 OLCI_17,0.00054298993,0.00054298993
OLCI_15 OLCI_19,0.000519658,0.000519658
OLCI_8 OLCI_12,0.0005093253,0.0005093253
OLCI_8 OLCI_11,0.0005070849,0.0005070849
OLCI_6 OLCI_9,-0.0005057324,0.0005057324
OLCI_7 OLCI_8,-0.00049818505,0.00049818505
OLCI_1 OLCI_8,-0.00047614798,0.00047614798
OLCI_10 OLCI_16,0.0004725036,0.0004725036
OLCI_8 OLCI_15,0.00044222316,0.00044222316
OLCI_15 OLCI_18,0.00040775677,0.00040775677
OLCI_3 OLCI_17,-0.00040693878,0.00040693878
OLCI_9 OLCI_12,0.0004059727,0.0004059727
OLCI_7 OLCI_20,0.000399617,0.000399617
OLCI_13 OLCI_17,0.0003741898,0.0003741898
OLCI_7 OLCI_13,-0.0003474193,0.0003474193
OLCI_9 OLCI_15,0.00031583098,0.00031583098
OLCI_7 OLCI_14,0.00031572487,0.00031572487
OLCI_7^2,-0.0002977528,0.0002977528
OLCI_5 OLCI_19,-0.0002882947,0.0002882947
OLCI_9 OLCI_11,0.00027376658,0.00027376658
OLCI_13 OLCI_18,0.00026844558,0.00026844558
OLCI_8 OLCI_9,-0.00021136831,0.00021136831
OLCI_1 OLCI_20,-0.00020113657,0.00020113657
OLCI_6 OLCI_8,0.00019652396,0.00019652396
OLCI_8^2,0.00015817501,0.00015817501
OLCI_7 OLCI_19,-0.00014934101,0.00014934101
OLCI_7 OLCI_18,0.00014357694,0.00014357694
OLCI_6 OLCI_14,0.00012901623,0.00012901623
OLCI_10 OLCI_20,-1.9237865e-05,1.9237865e-05
